Message,ID,ID Decimal,Periodic Interval,Update Time,Event Trigger,Signal,Start Byte,Start Bit,Length,Data Type,Range,Min,Max,Unit,Conversion,Scale,Offset,Transmitter
,,,,,,Distance Rolling Count Average Driven Validity,2,6,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Distance Rolling Count Average Driven Reset Occurred,2,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Distance Rolling Count Average Driven,2,4,13,Unsigned Numeric,0.0 to 1023.875,0.0,1023.875,m,E = N * 1/8,1/8,,
,,,,,,Vehicle Speed Average Non Driven Validity,4,7,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Vehicle Speed Average Non Driven,4,6,15,Unsigned Numeric,0.0 to 511.46,0.0,511.46,km/h,E = N * 0.015625,0.015625,,
,,,,,,Distance Rolling Count Average Driven Source,6,7,1,Enumeration,N/A,,,,"$0 = Transmission Output Speed
$1 = Wheel Speed",,,
,,,,,,Distance Rolling Count Average Non Driven Validity,6,6,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Distance Rolling Count Average Non Driven Reset Occurred,6,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Distance Rolling Count Average Non Driven,6,4,13,Unsigned Numeric,0 to 1023.875,0,1023.875,m,E = N * 1/8,1/8,,
,,,,,,,,,,,,,,,,,,
PPEI Vehicle Limit Speed Control Cmd,$3ED,1005,250,,,,,,,,,,,,,,,Onstar
,,,,,,Enhanced Services Vehicle Top Speed Limit Request,0,7,2,Enumeration,N/A,,,,"$0 = No Action
$1 = Active
$2 = Inactive",,,
,,,,,,Enhanced Services Vehicle Top Speed Limit Value Alive Rolling Count,0,5,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Enhanced Services Vehicle Top Speed Limit Password,1,7,32,Unsigned Numeric,N/A,,,,4 ASCII Characters,,,
,,,,,,Enhanced Services Vehicle Top Speed Limit Value,5,7,8,Unsigned Numeric,0 to 510,0,510,km/h,E = N * 2,2,,
,,,,,,,,,,,,,,,,,,
PPEI Platform Engine Cntrl Requests,$3F1,1009,250,,,,,,,,,,,,,,,GW
,,,,,,Engine Cooling Fan Speed Adjustment,0,7,8,Signed Numeric,-100.0 to 99.2188,-100.0,99.2188,%,E = N * 200/256,200/256,,
,,,,,,Generator Regulator Setpoint Duty Cycle Request,1,7,8,Unsigned Numeric,0 to 100,0,100,%,E = N * 100/255,100/255,,
,,,,,,Vehicle Top Speed Limit Request,2,7,8,Unsigned Numeric,0 to 510,0,510,km/h,E = N * 2,2,,
,,,,,,,3,7,1,,,,,,,,,
,,,,,,,3,6,1,,,,,,,,,
,,,,,,Air Conditioning Compressor Engine Run Request,3,5,1,Enumeration,N/A,,,,"$0 = No Action
$1 = Engine Run
Requested",,,
,,,,,,Engine Off Time Virtual Device Mask,3,4,1,,,,,,,,,
,,,,,,Engine Off Time Virtual Device Availability,3,3,1,Enumeration,N/A,,,,"$0 = Virtual Device Unavailable
$1 = Virtual Device Available",,,
,,,,,,Engine Off Time Extended Range Validity,3,2,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Platform Minimum Idle Boost Level Request,3,1,2,Enumeration,N/A,,,,"$0 = No Boost Requested
$1 = Boost Level 1
$2 = Boost Level 2
$3 = Boost Level 3",,,
,,,,,,Engine Off Time Extended Range,4,7,8,Unsigned Numeric,0 to 1020,0,1020,min,E = N * 4,4,,
,,,,,,Interior Dimming Display Level,5,7,8,Unsigned Numeric,0 to 100,0,100,%,E = N * 100/255,100/255,,
,,,,,,Outside Air Temperature Virtual Device Availability,6,1,1,Enumeration,N/A,,,,"$0 = Virtual Device Unavailable
$1 = Virtual Device Available",,,
,,,,,,Outside Air Temperature Corrected Value Validity,6,0,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Outside Air Temperature Corrected Value,7,7,8,Unsigned Numeric,-40 to 87.5,-40,87.5,C,E = (N * 0.5) - 40,1/2,-40,
,,,,,,,,,,,,,,,,,,
PPEI Engine General Status 3,$3F9,1017,250,,,,,,,,,,,,,,,ECM
,,,,,,Fuel Injected Rolling Count Reset Occurred,0,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Generator Field Duty Cycle Validity,0,6,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Generator Failed,0,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Speed Limitation Mode Active,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Vehicle Top Speed Limit Mode Active,0,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Powertrain Top Speed Limit Reduced,0,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Air Conditioning Refrigerant High Side Fluid Pressure Validity,0,1,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Generator Setpoint Duty Cycle Powertrain Override Active,0,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Fuel Injected Rolling Count,1,7,16,Unsigned Numeric,0.0 to 1.99997,0.0,1.99997,L,E = N * 1/32768,1/32768,,
,,,,,,Generator Field Duty Cycle,3,7,8,Unsigned Numeric,0 to 100,0,100,%,E = N * 100/255,100/255,,
,,,,,,Vehicle Top Speed Limit Arbitrated Value,4,7,8,Unsigned Numeric,0 to 510,0,510,km/h,E = N * 2,2,,
,,,,,,Engine Cooling Fan Speed,5,7,8,Unsigned Numeric,0 to 100,0,100,%,E = N * 100/255,100/255,,
,,,,,,Engine Oil Remaining Life,6,7,8,Unsigned Numeric,0 to 100,0,100,%,E = N * 100/255,100/255,,
,,,,,,Air Conditioning Refrigerant High Side Fluid Pressure,7,7,8,Unsigned Numeric,0 to 3570,0,3570,kPa(g),E = N * 14,14,,
,,,,,,,,,,,,,,,,,,
PPEI Engine Fuel Status,$3FB,1019,250,,,,,,,,,,,,,,,ECM
,,,,,,Fuel Alcohol Composition Validity,0,7,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Emissions Related Fuel Level Low,0,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Fuel Level Emissions Related Status,0,5,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Fuel Alcohol Composition Adaptation In Progress,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Fuel Control State,0,1,2,Enumeration,N/A,,,,"$0 = Open Loop
$1 = Non-Stoichiometric Closed Loop
$2 = Stoichiometric Closed Loop",,,
,,,,,,Fuel Alcohol Composition,1,7,8,Unsigned Numeric,0 to 100,0,100,%,E = N * (100/255),100/255,,
,,,,,,,,,,,,,,,,,,
PPEI Gateway LS General Information,$451,1105,25,,,,,,,,,,,,,,,GW
,,,,,,Hybrid Vehicle High Voltage Inverter Disable Requested,2,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,,,,,,,,,,,,,
,,,,,,Notification Event Severity Status,3,6,7,Packet,N/A,,,,N/A,,,
,,,,,,Frontal Impact Stage 1 Severity Achieved,3,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Frontal Impact Stage 2 Severity Achieved,3,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Left Side Severity Achieved,3,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Rear Impact Severity Achieved,3,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Right Side Severity Achieved,3,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Rollover Severity Achieved,3,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Climate Control Front Blower Fan Speed,4,7,8,Unsigned Numeric,0 to 100,0,100,%,E = N * 100/255,100/255,,
,,,,,,,,,,,,,,,,,,
PPEI Engine General Status 4,$4C1,1217,500,,,,,,,,,,,,,,,ECM
,,,,,,Barometric Pressure Absolute Validity,0,7,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Engine Coolant Temperature Validity,0,6,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Engine Intake Air Temperature Validity,0,5,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Outside Air Temperature Powertrain Estimated Mask,0,4,1,Enumeration,N/A,,,,"$0 = Do not Use Data
$1 = Use Data",,,
,,,,,,Outside Air Temperature Powertrain Estimated Validity,0,3,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Legislated Diagnostics StAndard Conditions Met,0,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Legislated Diagnostics StAndard Conditions Fault Present,0,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Warm Up Cycle Achieved,0,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Barometric Pressure Absolute,1,7,8,Unsigned Numeric,0.0 to 127.5,0.0,127.5,kPa,E = N * 0.50,1/2,,
,,,,,,Engine Coolant Temperature,2,7,8,Unsigned Numeric,-40.0 to 215,-40.0,215,C,E = (N * 1) - 40,1,-40,
,,,,,,Engine Intake Air Temperature,3,7,8,Unsigned Numeric,-40.0 to 215,-40.0,215,C,E = (N * 1) - 40,1,-40,
,,,,,,Outside Air Temperature Powertrain Estimated,4,7,8,Unsigned Numeric,-40.0 to 87.5,-40.0,87.5,C,E = (N * 0.50) - 40,1/2,-40,
,,,,,,Legislated Diagnostics Cold Start Conditions Met,5,7,1,,,,,,,,,
,,,,,,Legislated Diagnostics Cold Start Conditions Fault Present,5,6,1,,,,,,,,,
,,,,,,Engine Oil Hot Indication On,5,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Economy Mode Commanded,6,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diesel Exhaust Fluid Warning Indication Request,6,5,3,Enumeration,N/A,,,,"$0 = No Indication
$1 = Warning Level 1
$2 = Warning Level 2
$3 = Warning Level 3
$4 = Warning Level 4
$5 = Warning Level 5
$6 =Reserved
$7 =Reserved",,,
,,,,,,Diesel Exhaust Fluid Remaining Distance Validity,6,2,1,Enumeration,N/A,,,,$0 = Valid; $1 = Invalid,,,
,,,,,,Diesel Exhaust Fluid Remaining Distance,6,1,10,Unsigned Numeric,0 to 102300,0,102300,km,E = N * 100,100,,
,,,,,,,,,,,,,,,,,,
PPEI Transmission General Status 3,$4C9,1225,500,,,,,,,,,,,,,,,"TCM, ECM"
,,,,,,Transmission Oil Temperature Validity,0,7,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Transmission Oil Temperature Sensor Present,0,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Transmission Emissions Related Malfunction Active,0,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Transmission Non Emissions Related Malfunction Active,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,,0,3,1,,,,,,,,,
,,,,,,Transmission Change Oil Now Indication On,0,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Transmission Thermal Management Status,0,1,2,Enumeration,N/A,,,,"$0 = Normal
$1 = Counter-measures
Active
$2 = Driver Intervention
Requested",,,
,,,,,,Transmission Oil Temperature,1,7,8,Unsigned Numeric,-40 to 215,-40,215,C,E = (N * 1) - 40,1,-40,
,,,,,,Transmission Emissions Related DTC,2,7,16,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PPEI Engine General Status 5,$4D1,1233,500,,,,,,,,,,,,,,,ECM
,,,,,,Engine Oil Temperature Validity,0,7,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Engine Oil Pressure Validity,0,6,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Engine Oil Pressure Low Indication On,0,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Oil Level Low Indication On,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Oil Change Indication On,0,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Hot Fuel Enrichment Indication On,0,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Hot/Stop Engine Indication On,0,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Air Conditioning Off Indication On,0,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Oil Temperature,1,7,8,Unsigned Numeric,-40 to 215,-40,215,C,E = (N * 1) - 40,1,-40,
,,,,,,Engine Oil Pressure,2,7,8,Unsigned Numeric,0 to 1020,0,1020,kPa,E = N * 4,4,,
,,,,,,Reduced Power Indication On,3,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Starting Disabled Indication On,3,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Check Fuel Filler Cap Indication On,3,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Fuel Level Percent Validity,3,4,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Fuel Total Capacity,3,3,12,Unsigned Numeric,0.0 to 511.875,0.0,511.875,L,E = N * 1/8,1/8,,
,,,,,,Fuel Level Percent,5,7,8,Unsigned Numeric,0 to 100,0,100,%,E = N * 100/255,100/255,,
,,,,,,Engine Shutdown Pending Indication On,6,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Shutdown Active,6,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diesel Glow Plug Indication On,6,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Water In Fuel Indication On,6,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Powertrain Exhaust Particle Filter Warning Indication On,6,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Powertrain High Electrical Load Requested,6,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Fuel Filter Change Now Indication On,6,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Engine Diagnostic Trouble Code Present Indication On,6,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,,6,1,1,,,,,,,,,
,,,,,,,6,0,1,,,,,,,,,
,,,,,,Engine Speed Maximum Limit,7,7,8,Unsigned Numeric,0 to 8160,0,8160,RPM,E = N * 32,32,,
,,,,,,,,,,,,,,,,,,
PPEI Fuel System General Status,$4D9,1241,500,,,,,,,,,,,,,,,FSCM
,,,,,,Fuel System Emissions Related Malfunction Active,0,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,,0,6,7,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fuel System Emissions Related DTC,1,7,16,Packet,N/A,,,,N/A,,,
,,,,,,Fuel System Emissions Related DTC System Designator,1,7,12,Enumeration,N/A,,,,"$0 = P0-Powertrain Codes SAE Controlled
$1 = P1-Powertrain Codes MFG Controlled
$2 = P2-Powertrain Codes Reserved
$3 = P3-Powertrain Codes Reserved
$4 = C0-Chassis Codes SAE Controlled
$5 = C1-Chassis Codes MFG Controlled
$6 = C2-Chassis Codes Reserved
$7 = C3-Chassis Codes Reserved
$8 = B0-Body Codes SAE Controlled
$9 = B1-Body Codes MFG Controlled
$A = B2-Body Codes Reserved
$B = B3-Body Codes Reserved
$C = U0-Network Codes SAE Controlled
$D = U1-Network Codes MFG Controlled
$E = U2- Network Codes Reserved
$F = U3-Network Codes Reserved",,,
,,,,,,Fuel System Emissions Related DTC Code Number,2,3,4,Unsigned Numeric,0 to 4095,0,4095,,E = N * 1,1,,
,,,,,,,,,,,,,,,,,,
PPEI VIN Digits 10 To 17,$4E1,1249,1000,,,,,,,,,,,,,,,GW
,,,,,,Vehicle Identification Number Digits 10 To 17,0,7,64,ASCII Chars,N/A,,,,Eight ASCII Characters,,,
,,,,,,,,,,,,,,,,,,
PPEI Platform Configuration Data,$4E9,1257,1000,,,,,,,,,,,,,,,GW
,,,,,,Antilock Brake System Present,0,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Traction Control System Present,0,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Vehicle Stability Enhancement System Present,0,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Elapsed Time Count Reset Occurred,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,,0,3,1,,,,,,,,,
,,,,,,Vehicle Speed Control System Type,0,2,3,Enumeration,N/A,,,,"$0 = No Vehicle Speed Control
$1 = Conventional Cruise Control
$2 = Adaptive Cruise Control",,,
,,,,,,Air Conditioning Compressor Type,1,7,3,Enumeration,N/A,,,,"$0 = None
$1 = Fixed Displacement Clutched
$2 = Variable Displacement Mechanical
$3 = Variable Displacement Electronic
$4 = Electric Motor Driven
$5 = Reserved
$6 = Reserved
$7 = Reserved",,,
,,,,,,,1,4,1,,,,,,,,,
,,,,,,,1,3,1,,,,,,,,,
,,,,,,Platform Engine Speed Command System Type,1,2,3,Enumeration,N/A,,,,"$0 = No Platform Engine Speed Command System Type
$1 = Stationary PTO
$2 = Stationary Variable PTO
$3 = Mobile Variable PTO
$4 = Fast Idle
$5 = Enhanced Fast Idle",,,
,,,,,,Elapsed Time Count,2,7,24,Unsigned Numeric,0 to 16777215,0,16777215,min,E = N * 1,1,,
,,,,,,Engine Performance Identifier,5,7,8,Unsigned Numeric,0 to 510,0,510,kW,E = N * 2,2,,
,,,,,,,,,,,,,,,,,,
PPEI Powertrain Configuration Data,$4F1,1265,1000,,,,,,,,,,,,,,,ECM
,,,,,,,0,7,1,,,,,,,,,
,,,,,,,0,6,1,,,,,,,,,
,,,,,,,0,5,1,,,,,,,,,
,,,,,,,0,4,1,,,,,,,,,
,,,,,,,0,3,1,,,,,,,,,
,,,,,,,0,2,1,,,,,,,,,
,,,,,,Wheel Distance Per Revolution Driven,0,1,10,Unsigned Numeric,800 to 3869,800,3869,mm,E = (N * 3) + 800,3,800,
,,,,,,,2,7,1,,,,,,,,,
,,,,,,,2,6,1,,,,,,,,,
,,,,,,,2,5,1,,,,,,,,,
,,,,,,,2,4,1,,,,,,,,,
,,,,,,,2,3,1,,,,,,,,,
,,,,,,,2,2,1,,,,,,,,,
,,,,,,Wheel Distance Per Revolution Non Driven,2,1,10,Unsigned Numeric,800 to 3869,800,3869,mm,E = (N * 3) + 800,3,800,
,,,,,,,4,7,1,,,,,,,,,
,,,,,,,4,6,1,,,,,,,,,
,,,,,,,4,5,1,,,,,,,,,
,,,,,,,4,4,1,,,,,,,,,
,,,,,,,4,3,1,,,,,,,,,
,,,,,,,4,2,1,,,,,,,,,
,,,,,,,4,1,1,,,,,,,,,
,,,,,,Driveline Final Axle Ratio,4,0,9,Unsigned Numeric,2.0 to 7.11,2.0,7.11,,E = (N * 0.01) + 2,1/100,2,
,,,,,,,,,,,,,,,,,,
PPEI Powertrain Configuration Data 2,$4F3,1267,1000,,,,,,,,,,,,,,,ECM
,,,,,,Vehicle Mass Nominal,0,7,8,Unsigned Numeric,500 to 5620,500,5620,kg,E = (N * 20) + 500,20,500,
,,,,,,,,,,,,,,,,,,
PPEI VIN Digits 2 To 9,$514,1300,,,,,,,,,,,,,,,,
,,,,,,Vehicle Identification Number Digits 2 To 9,0,7,64,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PPEI Diagnostic Trouble Code Information Extended 1,$772,1906,1000,,,,,,,,,,,,,,,ECM
,,,,,,Diagnostic Trouble Code Information Extended,0,7,56,Packet,N/A,,,,N/A,,,
,,,,,,Unused1,0,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused2,0,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused3,0,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused4,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused5,0,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused6,0,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused7,0,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Triggered,0,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Source,1,7,8,Unsigned Numeric,0 to 255,0,255,,E = N * 1,1,,
,,,,,,Diagnostic Trouble Code Number,2,7,16,Unsigned Numeric,0 to 65535,0,65535,,E = N * 1,1,,
,,,,,,Diagnostic Trouble Code Failure Type,4,7,8,Unsigned Numeric,0 to 255,0,255,,E = N * 1,1,,
,,,,,,Warning Indicator Requested Status,5,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Failed Since Power Up Status,5,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Not Passed Since Power Up Status,5,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,History Status,5,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Failed Since Code Cleared Status,5,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Not Passed Since Code Cleared Status,5,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Current Status,5,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Code Supported,5,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Fault Type,6,7,8,Enumeration,,,,,"$00 = Not Supported
$01 = Type A
$02 = Type B
$03 = Type C
$04 to $FF = reserved",,,
,,,,,,,,,,,,,,,,,,
PPEI Diagnostic Trouble Code Information Extended 2,$77A,1914,1000,,,,,,,,,,,,,,,TCCM
,,,,,,Diagnostic Trouble Code Information Extended,0,7,56,Packet,N/A,,,,N/A,,,
,,,,,,Unused1,0,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused2,0,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused3,0,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused4,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused5,0,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused6,0,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused7,0,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Triggered,0,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Source,1,7,8,Unsigned Numeric,0 to 255,0,255,,E = N * 1,1,,
,,,,,,Diagnostic Trouble Code Number,2,7,16,Unsigned Numeric,0 to 65535,0,65535,,E = N * 1,1,,
,,,,,,Diagnostic Trouble Code Failure Type,4,7,8,Unsigned Numeric,0 to 255,0,255,,E = N * 1,1,,
,,,,,,Warning Indicator Requested Status,5,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Failed Since Power Up Status,5,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Not Passed Since Power Up Status,5,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,History Status,5,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Failed Since Code Cleared Status,5,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Not Passed Since Code Cleared Status,5,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Current Status,5,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Code Supported,5,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Fault Type,6,7,8,Enumeration,,,,,"$00 = Not Supported
$01 = Type A
$02 = Type B
$03 = Type C
$04 to $FF = reserved",,,
,,,,,,,,,,,,,,,,,,
PPEI Diagnostic Trouble Code Information Extended 3,$77F,1919,1000,,,,,,,,,,,,,,,TCM
,,,,,,Diagnostic Trouble Code Information Extended,0,7,56,Packet,N/A,,,,N/A,,,
,,,,,,Unused1,0,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused2,0,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused3,0,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused4,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused5,0,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused6,0,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Unused7,0,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Triggered,0,0,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Source,1,7,8,Unsigned Numeric,0 to 255,0,255,,E = N * 1,1,,
,,,,,,Diagnostic Trouble Code Number,2,7,16,Unsigned Numeric,0 to 65535,0,65535,,E = N * 1,1,,
,,,,,,Diagnostic Trouble Code Failure Type,4,7,8,Unsigned Numeric,0 to 255,0,255,,E = N * 1,1,,
,,,,,,Warning Indicator Requested Status,5,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Failed Since Power Up Status,5,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Not Passed Since Power Up Status,5,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,History Status,5,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Test Not Passed Since Code Cleared Status,5,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Current Status,5,1,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Code Supported,5,0,1,Boolean,,,,,"$0 = False;
$1 = True",,,
,,,,,,Diagnostic Trouble Code Fault Type,6,7,8,Enumeration,,,,,"$00 = Not Supported
$01 = Type A
$02 = Type B
$03 = Type C
$04 to $FF = Reserved",,,
,,,,,,,,,,,,,,,,,,
PPEI Power Pack General Status,$3F3,1011,500,,,,,,,,,,,,,,,BPIM
,,,,,,Power Pack Fan Afterrun Time,0,0,9,Unsigned Numeric,0 to 511,0,511,s,E = N * 1,1,,
,,,,,,,,,,,,,,,,,,
PPEI Hybrid Temperature Status,$3F7,1015,200,,,,,,,,,,,,,,,VITM
,,,,,,High Voltage Battery Temperature Sensor 6 Validity,0,5,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,High Voltage Battery Temperature Sensor 5 Validity,0,4,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,High Voltage Battery Temperature Sensor 4 Validity,0,3,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
