Message,ID,ID Decimal,Periodic Interval,Update Time,Event Trigger,Signal,Start Byte,Start Bit,Length,Data Type,Range,Min,Max,Unit,Conversion,Scale,Offset,Transmitter
,,,,,,Adaptive Cruise Control Axle Torque Command Limiting Status,1,4,2,Enumeration,N/A,,,,"$0 = Request Not Limited
$1 = Request Value Limited Minimum
$2 = Request Value Limited Maximum
$3 = Request Rate Limited",,,
,,,,,,Road Load Nominal Axle Torque,1,2,19,Unsigned Numeric,-22534 to 43000,-22534,43000,Nm,E = (N/8) - 22534,1/8,-22534,
,,,,,,,,,,,,,,,,,,
PPEI Driver Intended Axle Torque Status,$1C5,453,25,,,,,,,,,,,,,,,ECM
,,,,,,Driver Intended Axle Torque Validity,0,7,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Driver Intended Axle Torque,0,6,15,Unsigned Numeric,-22534 to 43000,-22534,43000,Nm,E = (N * 2) - 22534,2,-22534,
,,,,,,Driver Intended Axle Torque Minimum Validity,2,7,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Driver Intended Axle Torque Minimum,2,6,15,Unsigned Numeric,-22534 to 43000,-22534,43000,Nm,E = (N * 2) - 22534,2,-22534,
,,,,,,Driver Intended Axle Torque Maximum Validity,4,7,1,Enumeration,N/A,,,,"$0 = Valid;
$1 = Invalid",,,
,,,,,,Driver Intended Axle Torque Maximum,4,6,15,Unsigned Numeric,-22534 to 43000,-22534,43000,Nm,E = (N * 2) - 22534,2,-22534,
,,,,,,,,,,,,,,,,,,
PPEI Chassis Engine Torque Request 1,$1C7,455,20,,,,,,,,,,,,,,,EBCM
,,,,,,,0,7,1,,,,,,,,,
,,,,,,,0,6,1,,,,,,,,,
,,,,,,Torque Intervention Type,0,5,2,Enumeration,N/A,,,,"$0 = No Intervention
$1 = Reduce Torque
$2 = Increase Torque",,,
,,,,,,Torque Request Value,0,3,12,Unsigned Numeric,-848.0 to 1199.5,-848.0,1199.5,Nm,E = (N * 0.5) - 848,1/2,-848,
,,,,,,Traction Control Alive Rolling Count,2,7,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Chassis System Engine Torque Request Protection,2,5,14,Unsigned Numeric,0 to 16383,0,16383,,E = N * 1,1,,
,,,,,,,4,7,1,,,,,,,,,
,,,,,,,4,6,1,,,,,,,,,
,,,,,,,4,5,1,,,,,,,,,
,,,,,,,4,4,1,,,,,,,,,
,,,,,,,4,3,1,,,,,,,,,
,,,,,,,6,7,1,,,,,,,,,
,,,,,,Traction Control Maximum Torque Increase Rate,6,5,6,Unsigned Numeric,0 to 1008,0,1008,Nm/s,E = N * 16,16,,
,,,,,,,,,,,,,,,,,,
PPEI Secondary Axle Status,$1CC,460,20,,,,,,,,,,,,,,,TCCM/RDCM
,,,,,,Secondary Axle Status,0,7,3,Enumeration,,,,,"$0 = Normal Operation
$1 = Temporary Inhibit
$2 = Temporarily Limited
$3 = Permanently Failed",,,
,,,,,,Secondary Axle Control Mode,0,4,1,Enumeration,,,,,"$0 = Internal
$1 = External",,,
,,,,,,Secondary Axle Estimated Torque,0,1,10,Unsigned Numeric,0 to 10230,0,10230,Nm,E = N * 10,10,,
,,,,,,Secondary Axle Estimated Torque Validity,0,2,1,Enumeration,,,,,"$0 = Valid
$1 = Invalid",,,
,,,,,,,,,,,,,,,,,,
,,,,,,Secondary Axle Maximum Differential Velocity Allowed,2,7,8,Packet,,,,,,,,
,,,,,,Secondary Axle Maximum Differential Velocity Allowed Active,2,7,1,Boolean,,,,,"$0 = False;
$1 = True",,,
,,,,,,Secondary Axle Maximum Differential Velocity Allowed Request,2,6,7,Unsigned Numeric,0 to 254,0,254,RPM,E = N * 2,2,,
,,,,,,,,,,,,,,,,,,
PPEI Secondary Axle Control,$1CE,462,20,,,,,,,,,,,,,,,EBCM
,,,,,,Secondary Axle Torque Request,0,7,11,Packet,,,,,,,,
,,,,,,Secondary Axle Torque Request Active,0,7,1,Boolean,,,,,"$0 = False;
$1 = True",,,
,,,,,,Secondary Axle Torque Request Value,0,6,10,Unsigned Numeric,0 to 10230,0,10230,Nm,E = N * 10,10,,
,,,,,,Secondary Axle Torque Request Alive Rolling Count,2,4,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
,,,,,,Secondary Axle Torque Request Protection Value,2,2,11,Unsigned Numeric,0 to 255,0,255,,N/A,,,
,,,,,,,,,,,,,,,,,,
PPEI Secondary Axle General Information,$1CF,463,100,,,,,,,,,,,,,,,TCCM/RDCM
,,,,,,Secondary Axle Malfunction Indication On,0,7,1,Boolean,,,,,"$0 = False;
$1 = True",,,
,,,,,,Secondary Axle Temporary Inhibit Indication On,0,6,1,Boolean,,,,,"$0 = False;
$1 = True",,,
,,,,,,Secondary Axle Operational Mode,0,3,4,Enumeration,,,,,"$0 = 2 Wheel Drive High
$1 = 4 Wheel Drive High Locked
$2 = 4 Wheel Drive Low Locked
$3 = Active All Wheel Drive (High)
$4 = 4 Wheel Drive High Open
$5 = 4 Wheel Drive Low Open
$6 = Active All Wheel Drive (Low)
$7 = 2 Wheel Drive Low
$F = Neutral",,,
,,,,,,,,,,,,,,,,,,
PPEI Front Axle Status,$1D0,464,20,,,,,,,,,,,,,,,TCCM/FDCM
,,,,,,Front Axle Status,0,7,3,Enumeration,,,,,"$0 = Normal Operation
$1 = Temporary Inhibit
$2 = Temporarily Limited
$3 = Permanently Failed",,,
,,,,,,Front Axle Control Mode,0,4,1,Enumeration,,,,,"$0 = Internal
$1 = External",,,
,,,,,,Front Axle Estimated Torque,0,3,11,Signed Numeric,-5120 to 5115,-5120,5115,Nm,E = N * 10,10,,
,,,,,,Front Axle Estimated Torque Validity,1,0,1,Enumeration,,,,,"$0 = Valid
$1 = Invalid",,,
,,,,,,,,,,,,,,,,,,
,,,,,,Front Axle Maximum Differential Velocity Allowed,2,7,8,Packet,,,,,,,,
,,,,,,Front Axle Maximum Differential Velocity Allowed Active,2,7,1,Boolean,,,,,"$1 = True ;
$0 = False",,,
,,,,,,Front Axle Maximum Differential Velocity Allowed Value,2,6,7,Unsigned Numeric,0 to 254,0,254,RPM,E = N * 2,2,,
,,,,,,Front Axle Operational Mode,3,7,3,Enumeration,,,,,"$0 = Open
$1 = Active
$2 = Locked
$3 = Unknown",,,
,,,,,,,,,,,,,,,,,,
PPEI Rear Axle Status,$1D1,465,20,,,,,,,,,,,,,,,TCCM/RDCM
,,,,,,Rear Axle Status,0,7,3,Enumeration,,,,,"$0 = Normal Operation
$1 = Temporary Inhibit
$2 = Temporarily Limited
$3 = Permanently Failed",,,
,,,,,,Rear Axle Control Mode,0,4,1,Enumeration,,,,,"$0 = Internal
$1 = External",,,
,,,,,,Rear Axle Estimated Torque,0,3,11,Signed Numeric,-5120 to 5115,-5120,5115,Nm,E = N * 10,10,,
,,,,,,Rear Axle Estimated Torque Validity,1,0,1,Enumeration,,,,,"$0 = Valid
$1 = Invalid",,,
,,,,,,,,,,,,,,,,,,
,,,,,,Rear Axle Maximum Differential Velocity Allowed,2,7,8,Packet,,,,,,,,
,,,,,,Rear Axle Maximum Differential Velocity Allowed Active,2,7,1,Boolean,,,,,"$1 = True;
$0 = False",,,
,,,,,,Rear Axle Maximum Differential Velocity Allowed Value,2,6,7,Unsigned Numeric,0 to 254,0,254,RPM,E = N * 2,2,,
,,,,,,Rear Axle Operational Mode,3,7,3,Enumeration,,,,,"$0 = Open
$1 = Active
$2 = Locked
$3 = Unknown",,,
,,,,,,,,,,,,,,,,,,
PPEI Cruise Control Switch Status,$1E1,481,30,,,,,,,,,,,,,,,GW
,,,,,,Cruise Control Switch Status,0,7,8,Packet,N/A,,,,N/A,,,
,,,,,,Cruise Control Cancel Switch Active,0,7,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Cruise Control On Switch Active,0,6,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Cruise Control Resume Switch Active,0,5,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Cruise Control Set Switch Active,0,4,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Cruise Control Speed Increase Switch Active,0,3,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Cruise Control Speed Decrease Switch Active,0,2,1,Boolean,N/A,,,,"$0 = False;
$1 = True",,,
,,,,,,Cruise Control Switch Data Integrity,0,1,2,Enumeration,N/A,,,,"$0 = Data Valid
$1 = Data Invalid
$2 = Failure Detected
$3 = Illegal Range",,,
,,,,,,Cruise Control Switch Status Protection Value,1,7,8,Unsigned Numeric,0 to 255,0,255,,E = N * 1,1,,
,,,,,,Adaptive Cruise Control Gap Switch Activation,2,7,2,,,,,,,,,
,,,,,,,2,5,1,,,,,,,,,
,,,,,,,2,4,1,,,,,,,,,
,,,,,,,2,3,1,,,,,,,,,
,,,,,,Cruise Control Cancel Request,2,2,1,Enumeration,N/A,,,,"$0 = Do Not Cancel;
$1 = Cancel",,,
,,,,,,Cruise Control Switch Status Alive Rolling Count,2,1,2,Unsigned Numeric,0 to 3,0,3,,E = N * 1,1,,
